yearday,skagit,snohomish,stillaguamish,columbia,puyallup,green,nisqually,deschutes,skagit_south,skokomish,duckabush,fraser,dosewallips,hamma,cedar,nooksack,samish
65,362.86,183.54,46.397,6288.7,78.013,33.796,33.626,8.2142,0,29.383,7.9264,756.92,7.9264,7.9264,21.183,76.078,7.6432
66,357.57,184.86,48.776,6333.5,76.361,33.489,33.303,7.8839,0,30.193,7.4662,758.92,7.4662,7.4662,21.896,80.656,8.1553
67,359.41,204.35,55.407,6331.2,76.975,34.721,34.353,8.7334,0,35.901,7.5936,775.25,7.5936,7.5936,23.154,88.136,8.5824
68,363.61,221.63,55.666,6248.6,78.65,36.441,37.173,9.2879,0,36.876,7.7635,798.58,7.7635,7.7635,23.366,87.593,8.193
69,378.5,256.41,74.837,6199,92.502,40.293,42.513,11.449,0,64.643,10.392,843.67,10.392,10.392,22.203,96.513,8.7263
70,499.93,354.62,96.697,6225,112.21,53.446,50.451,14.246,0,79.745,15.636,978.5,15.636,15.636,24.109,141.37,9.6395
71,546.66,364.18,103.02,6335.9,110.13,60.52,53.686,14.239,0,87.308,26.394,968.5,26.394,26.394,23.704,150.36,9.5475
72,497.01,312.76,76.689,6543.6,100.22,49.359,48.957,12.523,0,74.476,21.193,956.25,21.193,21.193,22.911,140.43,9.7953
73,431.38,268.77,61.981,6357.1,94.13,44.118,43.768,10.727,0,51.888,15.57,939.92,15.57,15.57,23.545,119.26,9.8118
74,405.73,252,55.709,6423.2,85.493,41.888,38.848,9.7811,0,39.681,11.173,929.92,11.173,11.173,23.722,106.71,9.4791
75,390.47,238.05,52.433,6458.6,82.213,40.297,35.965,8.7853,0,35.689,9.5829,930.75,9.5829,9.5829,23.234,99.817,8.9528
76,397.71,243.9,55.902,6319.4,83.346,38.985,34.976,8.0821,0,33.378,8.7641,947.25,8.7641,8.7641,23.163,104.02,9.052
77,398.18,270.47,62.958,6307.6,88.136,39.167,35.347,7.9736,0,36.09,9.2879,955.92,9.2879,9.2879,23.715,106.4,9.8755
78,417.86,274.37,69.282,6468,97.788,43.82,38.185,9.1322,0,47.438,12.971,963.58,12.971,12.971,23.562,111.5,9.859
79,419.8,264.88,64.303,6531.8,90.354,40.576,38.36,9.2148,0,46.952,11.254,944.75,11.254,11.254,22.948,109.35,9.1676
80,412.1,270.02,68.267,6338.3,89.056,43.169,36.835,10.451,0,63.361,15.645,924.08,15.645,15.645,23.309,109.21,9.4838
